ENS_ID,Endophyte_Name,Endophyte_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID
ENS00001,Acinetobacter baumannii LCH001,Endophytic Bacteria,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,NA,NA
ENS00002,Acinetobacter baumannii strain AIMST 8.Cap.11,Endophytic Bacteria,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,HQ670501,NA
ENS00003,Acinetobacter johnsonii B2,Endophytic Bacteria,40214,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,KY077679,NA
ENS00004,Acremonium citrinum SS-g13,Endophytic Fungus,1472694,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MK034752,NA
ENS00005,Acremonium pilosum F47,Endophytic Fungus,1472692,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MN294707,NA
ENS00006,Acremonium sp. GF3,Endophytic Fungus,1501276,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,No Rank at Level Genus,KJ631372,NA
ENS00007,Acremonium sp. Ld-03,Endophytic Fungus,2046025,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MN393594,NA
ENS00008,Acremonium vitellinum,Endophytic Fungus,1036770,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MH726097,NA
ENS00009,Acrocalymma vagum Nitaf22,Endophytic Fungus,1589764,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,KM095527,NA
ENS00010,Acrostalagmus luteoalbus TK-43,Endophytic Fungus,132138,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Acrostalagmus,MH836621,NA
ENS00011,Actinoallomurus fulvus MK10-036,Endophytic Bacteria,478108,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,NA,AB364582
ENS00012,Aeromicrobium ponti LGMB491,Endophytic Bacteria,460257,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,KY411896,NA
