ENC_ID,Caco-2,MDCK,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory
ENC000001,-4.803,5.83E-05,0.001,0.002,0.008,0.005,0.033,0.372,63.57%,0.21,41.51%,0.064,0.254,0.031,0.065,0.03,0.636,0.022,0.219,0.011,0.208,4.211,0.839,0.016,0.176,0.498,0.015,0.082,0.007,0.228,0.023,0.905,0.988,0.387
ENC000002,-5.469,6.39E-06,0.001,0.002,0.032,0.367,0.97,0.185,41.69%,0.395,48.11%,0.033,0.086,0.034,0.043,0.117,0.102,0.014,0.124,0.045,0.036,11.905,0.941,0.023,0.485,0.842,0.068,0.112,0.006,0.452,0.046,0.205,0.973,0.783
ENC000003,-4.246,2.16E-05,0,0.005,0.016,0.769,0.311,0.091,26.59%,1.232,70.98%,0.638,0.202,0.095,0.204,0.019,0.336,0.211,0.616,0.025,0.21,12.09,0.911,0.04,0.035,0.05,0.039,0.499,0.015,0.862,0.085,0.127,0.992,0.04
ENC000004,-4.855,3.31E-05,0,0.002,0.012,0.075,0.006,0.356,84.54%,0.174,9.16%,0.079,0.099,0.031,0.11,0.017,0.822,0.006,0.328,0.005,0.104,6.589,0.841,0.035,0.232,0.075,0.011,0.059,0.026,0.324,0.137,0.727,0.983,0.04
ENC000005,-4.451,1.25E-05,0,0.007,0.01,0.21,0.302,0.307,61.79%,0.895,37.42%,0.793,0.089,0.119,0.072,0.03,0.862,0.013,0.456,0.053,0.227,10.131,0.872,0.033,0.03,0.03,0.046,0.054,0.03,0.393,0.214,0.986,0.993,0.973
ENC000006,-5.105,2.55E-05,0,0.007,0.013,0.024,0.007,0.104,57.83%,0.237,36.94%,0.028,0.076,0.035,0.065,0.03,0.96,0.01,0.393,0.014,0.116,13.961,0.916,0.017,0.102,0.831,0.09,0.448,0.007,0.374,0.382,0.922,0.984,0.044
ENC000007,-5.27,8.49E-06,0.001,0.003,0.01,0.01,0.308,0.314,38.35%,0.291,49.50%,0.034,0.072,0.04,0.047,0.033,0.178,0.009,0.118,0.038,0.062,7.575,0.924,0.048,0.449,0.794,0.009,0.531,0.004,0.247,0.05,0.173,0.991,0.37
ENC000008,-5.218,0.00216227,0.001,0.173,0.008,0.002,0.002,0.923,11.63%,0.323,79.86%,0.021,0.101,0.026,0.059,0.004,0.284,0.041,0.111,0.015,0.047,1.609,0.791,0.01,0.15,0.218,0.02,0.037,0.013,0.311,0.033,0.973,0.942,0.039
ENC000009,-5.218,0.00216227,0.001,0.173,0.008,0.002,0.002,0.923,11.63%,0.323,79.86%,0.021,0.101,0.026,0.059,0.004,0.284,0.041,0.111,0.015,0.047,1.609,0.791,0.01,0.15,0.218,0.02,0.037,0.013,0.311,0.033,0.973,0.942,0.039
ENC000010,-4.461,2.92E-05,0,0.031,0.006,0.005,0.003,0.532,16.68%,0.726,81.05%,0.041,0.47,0.029,0.659,0.005,0.401,0.006,0.455,0.005,0.184,5.136,0.827,0.03,0.161,0.173,0.03,0.031,0.032,0.346,0.032,0.921,0.988,0.037
ENC000011,-5.072,4.29E-06,0,0.993,0.024,0.828,0.379,0.288,11.43%,1.006,79.68%,0.13,0.536,0.16,0.058,0.015,0.347,0.395,0.077,0.029,0.224,7.729,0.925,0.031,0.937,0.973,0.346,0.983,0.061,0.928,0.032,0.021,0.976,0.979
ENC000012,-4.306,2.16E-05,0,0.002,0.014,0.091,0.016,0.974,75.02%,1.332,20.42%,0.918,0.131,0.186,0.405,0.057,0.33,0.005,0.319,0.007,0.219,5.971,0.777,0.052,0.024,0.038,0.049,0.011,0.02,0.423,0.058,0.989,0.997,0.98
ENC000013,-4.942,1.96E-05,0,0.001,0.013,0.003,0.011,0.436,58.28%,0.208,31.66%,0.057,0.082,0.031,0.055,0.037,0.078,0.007,0.089,0.013,0.086,3.574,0.909,0.052,0.473,0.844,0.014,0.177,0.005,0.291,0.026,0.372,0.996,0.233
ENC000014,-4.244,3.38E-05,0,0.003,0.008,0.806,0.02,0.886,51.40%,3.398,45.23%,0.69,0.269,0.159,0.224,0.02,0.086,0.029,0.337,0.009,0.355,9.037,0.864,0.034,0.027,0.197,0.018,0.031,0.01,0.479,0.162,0.103,0.994,0.031
ENC000015,-5.795,0.000252259,0,0.003,0.757,0.552,0.959,0.308,10.82%,0.854,90.87%,0.008,0.499,0.017,0.047,0.016,0.337,0.004,0.417,0.004,0.024,2.091,0.874,0.008,0.784,0.01,0.003,0.104,0.224,0.092,0.052,0.864,0.836,0.128
ENC000016,-4.641,0.001275267,0,0.011,0.019,0.006,0.02,0.386,9.92%,1.024,80.34%,0.038,0.491,0.018,0.758,0.005,0.581,0.004,0.434,0.003,0.186,5.467,0.784,0.024,0.045,0.13,0.025,0.026,0.023,0.055,0.027,0.012,0.881,0.019
ENC000017,-4.135,3.45E-05,0,0.077,0.004,0.028,0.561,0.983,19.65%,0.945,78.08%,0.4,0.81,0.036,0.646,0.012,0.409,0.005,0.157,0.007,0.159,8.945,0.842,0.026,0.026,0.041,0.01,0.134,0.013,0.321,0.278,0.983,0.994,0.035
ENC000018,-4.807,0.000260239,0.002,0.019,0.011,0.001,0.014,0.887,43.11%,0.245,63.03%,0.029,0.23,0.027,0.136,0.006,0.93,0.013,0.24,0.009,0.045,7.386,0.832,0.009,0.075,0.059,0.011,0.154,0.013,0.213,0.11,0.986,0.993,0.046
ENC000019,-5.868,0.007077979,0,0.029,0.014,0.006,0.323,0.96,10.85%,0.443,87.13%,0.018,0.102,0.03,0.061,0.009,0.332,0.049,0.175,0.009,0.029,3.455,0.854,0.022,0.096,0.278,0.004,0.021,0.019,0.231,0.323,0.281,0.624,0.138
ENC000020,-6.041,0.001593642,0,0.006,0.966,0.985,0.993,0.304,10.04%,0.734,96.44%,0.003,0.221,0.015,0.044,0.004,0.239,0.001,0.245,0.003,0.019,2.131,0.902,0.007,0.428,0.003,0.004,0.095,0.638,0.047,0.032,0.036,0.558,0.083
