ENC_ID,kingdom,Superclass,Class,Subclass,Direct_Parent
ENC000001,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,Short-chain keto acids and derivatives
ENC000002,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives
ENC000003,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Benzyl alcohols
ENC000004,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,No Rank at Level Subclass,Phenylpropanoic acids
ENC000005,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Hydroxybenzaldehydes
ENC000006,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids
ENC000007,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives
ENC000008,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids
ENC000009,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids
ENC000010,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Acyloins
ENC000011,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines
ENC000012,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoyl derivatives,Benzoyl derivatives
ENC000013,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids
ENC000014,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzyl alcohols,Benzyl alcohols
ENC000015,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids
ENC000016,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,"1,2-diols"
ENC000017,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
ENC000018,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Straight chain fatty acids
ENC000019,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids
ENC000020,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Carnitines
ENC000021,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols
ENC000022,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Alpha-halocarboxylic acids and derivatives,Alpha-halocarboxylic acids
ENC000023,Organic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,No Rank at Level Subclass,Cinnamaldehydes
ENC000024,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives
ENC000025,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,No Rank at Level Subclass,Coumarins and derivatives
ENC000026,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Aromatic monoterpenoids
ENC000027,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols
ENC000028,Organic compounds,Benzenoids,Phenols,Cresols,Ortho cresols
ENC000029,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acids
ENC000030,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids
ENC000031,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Beta hydroxy acids and derivatives
ENC000032,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Medium-chain aldehydes
ENC000033,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols
ENC000034,Organic compounds,Benzenoids,Benzene and substituted derivatives,Nitrobenzenes,Nitrobenzaldehydes
ENC000035,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols
ENC000036,Organic compounds,Organoheterocyclic compounds,Benzofurans,Dibenzofurans,Dibenzofurans
ENC000037,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
ENC000038,Organic compounds,Phenylpropanoids and polyketides,"3,4-dihydrocoumarins",No Rank at Level Subclass,"3,4-dihydrocoumarins"
ENC000039,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
ENC000040,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
ENC000041,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,Indoles
ENC000042,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indoles,3-alkylindoles
ENC000043,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives
ENC000044,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids
ENC000045,Organic compounds,Organosulfur compounds,Thiols,Alkylthiols,Alkylthiols
ENC000046,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
ENC000047,Organic compounds,Benzenoids,Naphthalenes,No Rank at Level Subclass,Naphthalenes
ENC000048,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Nicotinamides
ENC000049,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols
ENC000050,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids
ENC000051,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones
ENC000052,Organic compounds,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids,1-hydroxy-4-unsubstituted benzenoids
ENC000053,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetaldehydes,Phenylacetaldehydes
ENC000054,Organic compounds,Benzenoids,Benzene and substituted derivatives,No Rank at Level Subclass,Benzene and substituted derivatives
ENC000055,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids
ENC000056,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,Pyridinecarboxylic acids
ENC000057,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,"1,2-diols"
ENC000058,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids
ENC000059,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles
ENC000060,Organic compounds,Benzenoids,Phenols,Benzenetriols and derivatives,5-unsubstituted pyrrogallols
ENC000061,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,Alpha-keto acids and derivatives
ENC000062,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives
ENC000063,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Pyrimidones
ENC000064,Organic compounds,Benzenoids,Benzene and substituted derivatives,Toluenes,Toluenes
ENC000065,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Pyrimidones
ENC000066,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines
ENC000067,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,Ureas
ENC000068,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols
ENC000069,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives
ENC000070,Organic compounds,"Organic 1,3-dipolar compounds","Allyl-type 1,3-dipolar organic compounds",Organic nitro compounds,C-nitro compounds
ENC000071,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Alkyl-phenylketones
ENC000072,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Acetanilides
ENC000073,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Acylsalicylic acids
ENC000074,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylacetamides,Phenylacetamides
ENC000075,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids
ENC000076,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides
ENC000077,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters
ENC000078,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,5-methoxypsoralens
ENC000079,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Phenylpropanes
ENC000080,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylmethylamines,Phenylmethylamines
ENC000081,Organic compounds,Organoheterocyclic compounds,Coumarans,No Rank at Level Subclass,Coumarans
ENC000082,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Long-chain fatty alcohols
ENC000083,Organic compounds,Organoheterocyclic compounds,Quinolines and derivatives,Haloquinolines,Chloroquinolines
ENC000084,Organic compounds,Benzenoids,Phenols,Cresols,Meta cresols
ENC000085,Organic compounds,Organoheterocyclic compounds,Oxanes,No Rank at Level Subclass,Oxanes
ENC000086,Organic compounds,Benzenoids,Phenols,Cresols,Para cresols
ENC000087,Organic compounds,Benzenoids,Anthracenes,Anthraquinones,Anthraquinones
ENC000088,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids
ENC000089,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines
ENC000090,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters
ENC000091,Organic compounds,Alkaloids and derivatives,Ergoline and derivatives,Lysergic acids and derivatives,"Ergotamines, dihydroergotamines, and derivatives"
ENC000092,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Nitroimidazoles
ENC000093,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzophenones,Benzophenones
ENC000094,Organic compounds,Benzenoids,Anthracenes,Anthraquinones,Hydroxyanthraquinones
