ENTO_ID,Target_Organism_Name,Target_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
ENTO00001,Acetobacter sp. 6912,ORGANISM,440,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter
ENTO00002,Acidovorax cattleyae,ORGANISM,80868,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
ENTO00003,Acidovorax citrulli,ORGANISM,80869,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
ENTO00004,Acinetobacter baumannii,ORGANISM,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00005,Acinetobacter baumannii ATCC 19606,ORGANISM,575584,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00006,Acinetobacter baumannii BAA 1605,ORGANISM,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00007,Acinetobacter baylyi BD4,ORGANISM,1198992,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00008,Acinetobacter calcoaceticus,ORGANISM,471,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00009,Acinetobacter calcoaceticus ATCC 23055,ORGANISM,471,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter
ENTO00010,Acinetobacter sp.,ORGANISM,469,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,No Rank at Level Genus
ENTO00011,Acyrthosiphon pisum,ORGANISM,7029,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon
ENTO00012,Aedes aegypti,ORGANISM,7159,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes
ENTO00013,Aedes albopictus,ORGANISM,7160,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes
ENTO00014,Aeromonas hydrophila,ORGANISM,644,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
ENTO00015,Aeromonas hydrophila QDIO-1,ORGANISM,644,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
ENTO00016,Aeromonas hydrophila QDIONA1,ORGANISM,644,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
ENTO00017,Agaricus bisporus,ORGANISM,5341,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus
ENTO00018,Agrobacterium konjaci,ORGANISM,357,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium
ENTO00019,Agrobacterium tumefaciens,ORGANISM,358,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium
ENTO00020,Agrobacterium tumefaciens A136,ORGANISM,358,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium
ENTO00021,Agrobacterium tumefaciens ATCC 11158,ORGANISM,358,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium
ENTO00022,Agrostis stolonifera,ORGANISM,63632,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Agrostis
