ENS_ID,Name,Tax_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID,Endophyte_Type
ENS00001,Acinetobacter baumannii LCH001,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,NA,NA,Endophytic Bacteria
ENS00002,Acinetobacter baumannii strain AIMST 8.Cap.11,470,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,HQ670501,NA,Endophytic Bacteria
ENS00003,Acinetobacter johnsonii B2,40214,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,KY077679,NA,Endophytic Bacteria
ENS00004,Acremonium citrinum SS-g13,1472694,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MK034752,NA,Endophytic Fungus
ENS00005,Acremonium pilosum F47,1472692,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MN294707,NA,Endophytic Fungus
ENS00006,Acremonium sp. GF3,1501276,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,No Rank at Level Genus,KJ631372,NA,Endophytic Fungus
ENS00007,Acremonium sp. Ld-03,2046025,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MN393594,NA,Endophytic Fungus
ENS00008,Acremonium vitellinum,1036770,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Acremonium,MH726097,NA,Endophytic Fungus
ENS00009,Acrocalymma vagum Nitaf22,1589764,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,KM095527,NA,Endophytic Fungus
ENS00010,Acrostalagmus luteoalbus TK-43,132138,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Acrostalagmus,MH836621,NA,Endophytic Fungus
ENS00011,Actinoallomurus fulvus MK10-036,478108,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,NA,AB364582,Endophytic Bacteria
